0: b"\t\x0b\r!#%')+-/13579;=?ACEGIKMOQSUWY[]_acegikmoqsuwy{}"
\t \t 1
\x0b \x0b 1
\r \r 1
! ! 1
# # 1
% % 1
' ' 1
) ) 1
+ + 1
- - 1
/ / 1
1 1 1
3 3 1
5 5 1
7 7 1
9 9 1
; ; 1
= = 1
? ? 1
A A 1
C C 1
E E 1
G G 1
I I 1
K K 1
M M 1
O O 1
Q Q 1
S S 1
U U 1
W W 1
Y Y 1
[ [ 1
] ] 1
_ _ 1
a a 1
c c 1
e e 1
g g 1
i i 1
k k 1
m m 1
o o 1
q q 1
s s 1
u u 1
w w 1
y y 1
{ { 1
} } 1
ˢ s 2
ᴱ E 3
ᴷ K 3
Ｅ E 3
Ｋ K 3
Ｑ Q 3
Ｗ W 3
1: b'\n\x0c "$&(*,.02468:<>@BDFHJLNPQRTVXZ\\^`bdfhjlnprtvwxz|~'
\n \n 1
\x0c \x0c 1
    1
' ' 1
$ $ 1
& & 1
( ( 1
* * 1
, , 1
. . 1
0 0 1
2 2 1
4 4 1
6 6 1
8 8 1
: : 1
< < 1
> > 1
@ @ 1
B B 1
D D 1
F F 1
H H 1
J J 1
L L 1
N N 1
P P 1
R R 1
T T 1
V V 1
X X 1
Z Z 1
\\ \\ 1
^ ^ 1
` ` 1
b b 1
d d 1
f f 1
h h 1
j j 1
l l 1
n n 1
p p 1
r r 1
t t 1
v v 1
x x 1
z z 1
| | 1
~ ~ 1
ʷ w 2
ⱼ j 3
ꟴ Q 3
2: b"\t!'-39?EGIKMQRW]ciou{"
\t \t 1
! ! 1
' ' 1
- - 1
3 3 1
9 9 1
? ? 1
E E 1
K K 1
Q Q 1
W W 1
] ] 1
c c 1
i i 1
o o 1
u u 1
{ { 1
ᴱ E 3
ᴳ G 3
ᴵ I 3
ᴷ K 3
ᴹ M 3
ᴿ R 3
3: b'\x0c $(,048<@BDFHJLNPRTVXZ\\`bdfhjlnprtvxz|'
\x0c \x0c 1
    1
$ $ 1
( ( 1
, , 1
0 0 1
4 4 1
8 8 1
< < 1
@ @ 1
D D 1
H H 1
L L 1
P P 1
T T 1
X X 1
\\ \\ 1
` ` 1
d d 1
h h 1
l l 1
p p 1
t t 1
x x 1
| | 1
𝐁 B 4
𝐇 H 4
𝐍 N 4
𝐓 T 4
𝐙 Z 4
𝐟 f 4
𝐥 l 4
𝐫 r 4
𝐱 x 4
𝐷 D 4
𝐽 J 4
𝒁 Z 4
𝒇 f 4
𝒍 l 4
𝒓 r 4
𝒙 x 4
𝒟 D 4
𝒥 J 4
𝒫 P 4
𝒱 V 4
𝒷 b 4
𝒽 h 4
𝔁 x 4
𝔇 D 4
𝔍 J 4
𝔓 P 4
𝔙 V 4
𝔟 b 4
𝔥 h 4
𝔫 n 4
𝔱 t 4
𝔷 z 4
𝔽 F 4
𝖁 V 4
𝖇 b 4
𝖍 h 4
𝖓 n 4
𝖙 t 4
𝖟 z 4
𝖥 F 4
𝖫 L 4
𝖱 R 4
𝖷 X 4
𝖽 d 4
𝘁 t 4
𝘇 z 4
𝘍 F 4
𝘓 L 4
𝘙 R 4
𝘟 X 4
𝘥 d 4
𝘫 j 4
𝘱 p 4
𝘷 v 4
𝘽 B 4
𝚁 R 4
𝚇 X 4
𝚍 d 4
𝚓 j 4
𝚙 p 4
𝚟 v 4
